iter	Passed	Remaining
0	1	117
1	2	105
2	3	98
3	3	90
4	4	89
5	5	87
6	6	86
7	7	84
8	8	81
9	8	79
10	9	80
11	10	80
12	11	79
13	12	78
14	13	77
15	14	75
16	15	74
17	15	72
18	16	70
19	17	69
20	18	67
21	18	66
22	19	64
23	19	63
24	20	61
25	21	60
26	21	59
27	22	57
28	23	56
29	23	55
30	24	54
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	27	47
37	28	46
38	28	45
39	29	44
40	30	43
41	30	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	42	23
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	51	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
