iter	Passed	Remaining
0	131	131044
1	132	66234
2	134	44663
3	135	33827
4	137	27427
5	139	23084
6	140	19988
7	142	17706
8	144	15887
9	145	14417
10	147	13224
11	149	12344
12	151	11511
13	153	10788
14	154	10163
15	156	9625
16	157	9129
17	159	8683
18	160	8301
19	162	7955
20	163	7641
21	165	7356
22	166	7085
23	168	6837
24	169	6618
25	170	6399
26	171	6194
27	173	6006
28	174	5832
29	175	5666
30	176	5504
31	177	5357
32	178	5217
33	179	5090
34	180	4966
35	181	4846
36	181	4729
37	182	4617
38	183	4509
39	183	4407
40	184	4311
41	184	4219
42	185	4132
43	186	4051
44	187	3970
45	187	3893
46	188	3818
47	188	3747
48	189	3679
49	190	3613
50	190	3552
51	191	3497
52	192	3439
53	193	3382
54	193	3328
55	194	3277
56	194	3225
57	195	3176
58	196	3128
59	196	3082
60	197	3037
61	197	2994
62	198	2953
63	199	2912
64	199	2873
65	200	2835
66	200	2797
67	201	2761
68	202	2726
69	202	2692
70	203	2659
71	203	2627
72	204	2596
73	205	2566
74	205	2538
75	206	2509
76	207	2483
77	207	2455
78	208	2428
79	208	2401
80	209	2376
81	210	2351
82	210	2323
83	210	2299
84	211	2276
85	212	2254
86	212	2232
87	213	2210
88	213	2189
89	214	2168
90	215	2148
91	215	2128
92	216	2108
93	216	2089
94	217	2070
95	218	2053
96	218	2035
97	219	2017
98	219	1999
99	220	1985
100	221	1969
101	221	1953
102	222	1937
103	223	1922
104	223	1907
105	224	1892
106	224	1877
107	225	1862
108	226	1848
109	226	1834
110	227	1820
111	227	1806
112	228	1793
113	229	1779
114	229	1766
115	230	1754
116	230	1740
117	231	1728
118	231	1716
119	232	1704
120	232	1692
121	233	1679
122	233	1668
123	234	1656
124	235	1645
125	236	1637
126	236	1626
127	237	1616
128	237	1606
129	238	1596
130	239	1586
131	239	1576
132	240	1567
133	240	1557
134	241	1547
135	242	1537
136	242	1528
137	243	1519
138	243	1510
139	244	1501
140	245	1492
141	245	1482
142	245	1474
143	246	1465
144	247	1457
145	247	1448
146	248	1440
147	248	1432
148	249	1424
149	250	1417
150	250	1410
151	251	1403
152	252	1396
153	252	1389
154	253	1382
155	254	1375
156	254	1367
157	255	1360
158	255	1353
159	256	1346
160	256	1338
161	257	1332
162	258	1326
163	258	1319
164	259	1313
165	260	1306
166	260	1300
167	261	1293
168	261	1287
169	262	1281
170	263	1275
171	263	1268
172	264	1263
173	264	1257
174	265	1252
175	266	1247
176	267	1241
177	267	1236
178	268	1230
179	268	1224
180	269	1219
181	269	1213
182	270	1207
183	271	1202
184	271	1197
185	272	1192
186	273	1187
187	273	1182
188	274	1177
189	275	1173
190	275	1168
191	276	1164
192	277	1159
193	278	1155
194	279	1152
195	279	1147
196	280	1142
197	281	1138
198	281	1134
199	282	1130
200	283	1125
201	283	1121
202	284	1117
203	285	1113
204	285	1109
205	286	1104
206	287	1100
207	287	1095
208	288	1091
209	288	1086
210	289	1082
211	290	1078
212	290	1074
213	291	1070
214	291	1066
215	292	1061
216	293	1057
217	293	1053
218	294	1049
219	294	1045
220	295	1041
221	296	1038
222	296	1034
223	297	1032
224	298	1028
225	299	1024
226	299	1021
227	300	1017
228	301	1013
229	301	1009
230	302	1006
231	302	1002
232	303	998
233	304	995
234	304	991
235	305	988
236	305	984
237	306	980
238	306	977
239	307	973
240	308	970
241	308	966
242	309	963
243	309	960
244	310	958
245	312	956
246	312	953
247	313	950
248	313	946
249	314	943
250	315	940
251	315	936
252	316	933
253	316	930
254	317	927
255	318	924
256	318	921
257	319	917
258	319	914
259	320	911
260	320	908
261	321	905
262	321	902
263	322	899
264	323	896
265	323	893
266	324	890
267	325	887
268	325	885
269	326	882
270	327	880
